Community 1,Community 2
Center for Rural Strategies,Dance/USA
United Church of Christ OC,Writers Guild of America West
Media Alliance,European Digital Rights
WITNESS,Greenlining Institute
Urbana Champaign Independent Media Center,League of American Orchestras
National Consumer Law Center,Data Foundry
Participatory Politics Foundation,Akaku Maui Community Media
People's Action,Fractured Atlas
Race Forward,U.S. Public Interest Research Group
American Library Association,California Center for Rural Policy
Progressive Technology Project,Golden Frog GmbH
Media Action Center,New Music USA
Future of Music Coalition,Access
New America Foundation,Chamber Music America
National Coalition Against Censorship,National Alliance for Media Arts + Culture
Open Access Connections,Giganews
Highlander Research & Education Center,Americans for the Arts
Families for Freedom,Engine
Dignity & Power Now,Computer & Communications Industry Association
Voices for Internet Freedom,Chief Officers of State Library Agencies
Martinez Street Women's Center,Consumers Union
Hollaback!,Performing Arts Alliance
Arts & Democracy,Center for Digital Democracy
Prometheus Radio Project,Institute for Local Self Reliance
Latino Rebels,Network of Ensemble Theaters
18MillionRising,Virginia Rural Health Association
ColorOfChange,Consumer Federation of America
Line Break Media,Theatre Communications Group
OpenMedia,American Association of Law Libraries
Media Mobilizing Project,Opera America
Global Action Project,Free Software Foundation
Public Knowledge,Consumer Watchdog
Native Public Media,Sonic
Popular Resistance,Benton Foundation
Movement Strategy Center,Broadband Alliance of Mendocino County
Forward Together,
Working Narratives,
Free Press,
Generation Justice,
Access Humboldt,
Center for Social Inclusion,
MomsRising,
Center for Media Justice,
Allied Media Projects,
Fairness & Accuracy In Reporting,
Presente,
Ohio Valley Environmental Coalition,
Iraq Veterans Against the War,
Radio Bilingue,
Common Frequency,
Philly Community Access Media,
New Media Rights,
Center for Democracy & Technology,
Alternate ROOTS,
Appalshop,
National Hispanic Media Coalition,
Association of Alternative Newsmedia,
American Civil Liberties Union,
Organizing Apprenticeship Project,
GlobalVision,
Fight for the Future,
Families Rally for Emancipation & Empowerment,
Common Cause,
Asamblea de Derechos Civiles,
May First/People Link,
Media Consortium,
Electronic Frontier Foundation,
Iguana Films,