Stakeholder,Abbreviation,Type,Net Neutrality Stance,07-52 Ex Parte (Participations),09-191 Ex Parte (Participations),14-28 Ex Parte (Participations),17-108 Ex Parte (Participations),07-52 Written (Participations),09-191 Written (Participations),14-28 Written (Participations),17-108 Written (Participations),07-52 Ex Parte (Community),09-191 Ex Parte (Community),14-28 Ex Parte (Community),17-108 Ex Parte (Community),07-52 Written (Community),09-191 Written (Community),14-28 Written (Community),17-108 Written (Community)
Christopher S. Yoo,Christopher Yoo,Academic,Anti,0,0,1,0,0,1,1,2,,,,,,,,
"Glen O. Robinson, Former FCC Commissioner, Professor of Law Emeritus, University of Virginia",Glen Robinson,Academic,Anti,0,0,0,0,0,1,1,0,,,,,,,Conservative Astroturf Community,
"Jerry Ellig, Mercatus Center at George Mason University",Jerry Ellig,Academic,Anti,0,0,0,0,1,1,0,0,,,,,,,,
"Justin (Gus) Hurwitz, Professor of Law, University of Nebraska",Justin Hurwitz,Academic,Anti,0,0,1,1,0,0,5,1,,,,,,,Conservative Astroturf Community,
"Larry Downes, Georgetown Center for Business & Public Policy",Larry Downes,Academic,Anti,0,0,0,0,0,0,6,1,,,,,,,Conservative Astroturf Community,
"David D. Clark, MIT",David Clark,Academic,Neither,0,0,0,0,0,1,1,0,,,,,,,,
"Steve Bauer, MIT",Steve Bauer,Academic,Neither,0,0,0,0,0,1,1,0,,,,,,,,
"Barbara Cherry, Indiana University Bloomington",Barbara Cherry,Academic,Pro,0,0,1,0,0,3,2,2,,,,,,Legal Academics Community,,
"Barbara van Schewick, Stanford Law School",Barbara van Schewick,Academic,Pro,0,12,16,0,3,3,5,2,,,Pro-Net Neutrality Community,,Public Interest Community,Legal Academics Community,Academics Community,
"Brett Frischmann, Loyola University Chicago School of Law",Brett Frischmann,Academic,Pro,0,0,0,0,0,1,1,0,,,,,,Legal Academics Community,Academics Community,
"Catherine Sandoval, Santa Clara Law",Catherine Sandoval,Academic,Pro,0,0,0,0,0,1,2,1,,,,,,,,
"Clayton Lewis, University of Colorado Boulder",Clayton Lewis,Academic,Pro,0,0,0,0,0,0,1,2,,,,,,,Deaf & Hard of Hearing community,Deaf & Hard of Hearing community
"Jack Balkin, Yale Law School",Jack Balkin,Academic,Pro,0,0,0,0,1,1,1,0,,,,,Public Interest Community,,Academics Community,
"John Blevins, South Texas College of Law",John Blevins,Academic,Pro,1,0,0,0,1,0,1,0,Pro-Net Neutrality Community,,,,,,Academics Community,
"Jon Peha, Carnegie Mellon Univ.",Jon Peha,Academic,Pro,0,0,5,0,1,0,3,2,,,,,,,,
"Julien Mailland, Indiana University",Julien Mailland,Academic,Pro,0,0,1,0,0,0,1,1,,,,,,,,
"Lawrence Lessig, Harvard Law School",Lawrence Lessig,Academic,Pro,0,0,0,0,1,1,1,0,,,,,,Legal Academics Community,Academics Community,
"Nicholas Economides, Stern School of Business, New York University",Nicholas Economides,Academic,Pro,0,0,0,0,0,0,1,1,,,,,,,Academics Community,
"Olivier Sylvain, Fordham University School of Law",Olivier Sylvain,Academic,Pro,0,0,0,0,0,1,1,0,,,,,,Legal Academics Community,Academics Community,
"Scott Jordan, Computer Science, University of California, Irvine",Scott Jordan,Academic,Pro,0,5,0,2,0,2,0,1,,"Telecom, Tech & Public Interest Community",,,,,,
"Tim Wu, Columbia Law School",Tim Wu,Academic,Pro,2,0,1,0,0,3,1,0,Pro-Net Neutrality Community,,,,,Legal Academics Community,Academics Community,
ACS Solutions,,Business,Anti,0,0,0,0,0,1,2,0,,,,,,Open Community,Telecommunications Industry Community,
Actiontec,,Business,Anti,0,0,0,0,0,0,1,2,,,,,,,Telecommunications Industry Community,Network Equipment Manufacturers Community
ADC Telecommunications,ADC,Business,Anti,0,0,0,0,2,4,0,0,,,,,Network Equipment Manufacturers Community,Open Community,,
ADTRAN,,Business,Anti,0,4,0,0,0,4,6,3,,"Telecom, Tech & Public Interest Community",,,,Open Community,Telecommunications Industry Community,Network Equipment Manufacturers Community
Alamo Broadband,,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,,
Alaska Communications,,Business,Anti,0,0,0,2,0,0,1,3,,,,,,,Telecommunications Industry Community,Republican representatives community
Alcatel-Lucent,,Business,Anti,1,9,1,0,1,6,3,0,Network Equipment Manufacturers Community,"Telecom, Tech & Public Interest Community",,,,Open Community,Telecommunications Industry Community,
ALSAT Wireless,,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Telecommunications Industry Community,Small WISPs Community
Alticast,,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Telecommunications Industry Community,Network Equipment Manufacturers Community
Amplex,,Business,Anti,0,0,0,1,1,0,2,1,,,,,,,Telecommunications Industry Community,Small WISPs Community
Argent Associates,Argent,Business,Anti,0,0,0,0,0,1,0,1,,,,,,Open Community,,Network Equipment Manufacturers Community
Aristotle.net,Aristotle,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Telecommunications Industry Community,Small WISPs Community
ARRIS,,Business,Anti,0,0,4,0,0,0,4,1,,,Network Equipment Manufacturers Community,,,,Telecommunications Industry Community,Network Equipment Manufacturers Community
AT&T,,Business,Anti,9,49,23,4,6,15,12,4,,"Telecom, Tech & Public Interest Community",Wireless & Mobile Industry Community,,,Open Community,Telecommunications Industry Community,
BEH Communications,,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Telecommunications Industry Community,Small WISPs Community
"BELD Broadband, Braintree, MA",BELD Broadband,Business,Anti,0,0,0,0,0,0,1,2,,,,,,,Small Municipal ISPs Community,Small Municipal ISPs Community
Berry Test Sets,,Business,Anti,0,0,0,0,1,2,1,0,,,,,Network Equipment Manufacturers Community,Open Community,Telecommunications Industry Community,
Blackfoot Telecommunications Group,Blackfoot,Business,Anti,0,0,1,1,0,0,0,2,,,,,,,,Republican representatives community
Blonder Tongue,,Business,Anti,0,0,0,0,0,0,2,2,,,,,,,Telecommunications Industry Community,Network Equipment Manufacturers Community
Bluegrass Cellular,Bluegrass,Business,Anti,0,0,1,0,0,1,0,1,,,Wireless & Mobile Industry Community,,,Open Community,,
Bright House Networks,Bright House,Business,Anti,1,0,2,0,0,3,3,0,Cable Industry Community,,Cable Industry Community,,,,Telecommunications Industry Community,
Broadband Corp.,,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Telecommunications Industry Community,Small WISPs Community
Brolly Communications,,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Telecommunications Industry Community,Small WISPs Community
BTECH,,Business,Anti,0,0,0,0,2,2,1,0,,,,,Network Equipment Manufacturers Community,Open Community,Telecommunications Industry Community,
Cablevision,,Business,Anti,1,1,6,0,0,0,1,0,Cable Industry Community,"Telecom, Tech & Public Interest Community",Cable Industry Community,,,,Telecommunications Industry Community,
Cape Ann Communications,CAC,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Telecommunications Industry Community,Small WISPs Community
CBM of America,CBMA,Business,Anti,0,0,0,0,1,2,1,1,,,,,Network Equipment Manufacturers Community,Open Community,Telecommunications Industry Community,Network Equipment Manufacturers Community
Cellcom,,Business,Anti,0,0,1,0,0,1,0,1,,,Wireless & Mobile Industry Community,,,Open Community,,
CenturyLink,,Business,Anti,0,8,4,4,0,3,4,1,,"Telecom, Tech & Public Interest Community",Cable Industry Community,,,,Telecommunications Industry Community,
Charter,,Business,Anti,2,1,10,2,0,3,2,2,Cable Industry Community,,Cable Industry Community,Big Cable ISPs Community,,,Telecommunications Industry Community,
Ciena,,Business,Anti,1,0,0,0,0,2,1,0,Network Equipment Manufacturers Community,,,,,Open Community,Telecommunications Industry Community,
Cisco,,Business,Anti,1,4,12,0,2,2,4,3,Network Equipment Manufacturers Community,"Telecom, Tech & Public Interest Community",Network Equipment Manufacturers Community,,,Open Community,Telecommunications Industry Community,Network Equipment Manufacturers Community
Comcast,,Business,Anti,1,13,13,4,14,3,6,3,Cable Industry Community,"Telecom, Tech & Public Interest Community",Cable Industry Community,Big Cable ISPs Community,,,Telecommunications Industry Community,
CommScope,,Business,Anti,0,0,0,0,0,2,2,1,,,,,,Open Community,Telecommunications Industry Community,Network Equipment Manufacturers Community
Condux International,Condux,Business,Anti,0,0,0,0,1,2,0,1,,,,,Network Equipment Manufacturers Community,Open Community,,Network Equipment Manufacturers Community
"Conway Corporation, Conway, AR",Conway Corp.,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Small Municipal ISPs Community,Small Municipal ISPs Community
Corning,,Business,Anti,0,3,0,0,0,2,1,1,,"Telecom, Tech & Public Interest Community",,,,Open Community,Telecommunications Industry Community,Network Equipment Manufacturers Community
Cox,,Business,Anti,3,6,8,1,0,1,3,2,Cable Industry Community,"Telecom, Tech & Public Interest Community",Cable Industry Community,,,,Telecommunications Industry Community,
Cybernet1,,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Telecommunications Industry Community,Small WISPs Community
EATEL,,Business,Anti,0,1,0,1,0,1,0,0,,"Telecom, Tech & Public Interest Community",,,,,,
Enhanced Telecommunications,,Business,Anti,0,0,0,0,2,2,1,0,,,,,Network Equipment Manufacturers Community,Open Community,Telecommunications Industry Community,
Ericsson,,Business,Anti,0,1,1,0,0,4,4,2,,"Telecom, Tech & Public Interest Community",,,,Open Community,Telecommunications Industry Community,Network Equipment Manufacturers Community
FiberControl,,Business,Anti,0,0,0,0,1,2,1,1,,,,,Network Equipment Manufacturers Community,Open Community,Telecommunications Industry Community,Network Equipment Manufacturers Community
Fourway Computer Products,Fourway,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Telecommunications Industry Community,Small WISPs Community
"Frankfort Plant Board, Frankfort, KY",FPB,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Small Municipal ISPs Community,Small Municipal ISPs Community
Frontier,,Business,Anti,2,5,2,0,1,1,2,1,,"Telecom, Tech & Public Interest Community",,,,,Telecommunications Industry Community,
GigaBeam Networks,GigaBeam,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Telecommunications Industry Community,Small WISPs Community
Go! Foton,Go!Foton,Business,Anti,0,0,0,0,1,2,1,1,,,,,Network Equipment Manufacturers Community,Open Community,Telecommunications Industry Community,Network Equipment Manufacturers Community
GVTC Communications,GVTC,Business,Anti,0,1,0,0,0,1,0,2,,"Telecom, Tech & Public Interest Community",,,,,,Republican representatives community
Hawaiian Telcom,,Business,Anti,0,0,0,0,0,0,1,2,,,,,,,Telecommunications Industry Community,Republican representatives community
Imagine Networks LLC,Imagine Networks,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Telecommunications Industry Community,Small WISPs Community
Independent Technologies,,Business,Anti,0,0,0,0,0,2,1,0,,,,,,Open Community,Telecommunications Industry Community,
Intel,,Business,Anti,0,3,6,0,0,0,3,0,,"Telecom, Tech & Public Interest Community",Network Equipment Manufacturers Community,,,,Telecommunications Industry Community,
Intelligent Computing Solutions,ICS,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Telecommunications Industry Community,Small WISPs Community
Internet Communications Inc.,,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Telecommunications Industry Community,Small WISPs Community
InvisiMax,,Business,Anti,0,0,0,1,0,1,1,0,,,,,,,Telecommunications Industry Community,
"Jackson Energy Authority, Jackson, TN",JEA,Business,Anti,0,1,1,0,0,1,1,0,,"Telecom, Tech & Public Interest Community",Cable Industry Community,,,,Small Municipal ISPs Community,
Juniper Networks,Juniper,Business,Anti,0,2,0,0,0,0,1,1,,"Telecom, Tech & Public Interest Community",,,,,Telecommunications Industry Community,Network Equipment Manufacturers Community
KGPCo,,Business,Anti,0,0,0,0,0,1,0,1,,,,,,Open Community,,Network Equipment Manufacturers Community
LARIAT,,Business,Anti,2,3,2,1,4,4,2,0,,,,,,,Telecommunications Industry Community,
"Laurens Municipal Power & Communications, Laurens, IA",LMPC,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Small Municipal ISPs Community,Small Municipal ISPs Community
Massillon Cable TV,MCTV,Business,Anti,0,0,1,0,0,0,1,1,,,Cable Industry Community,,,,Telecommunications Industry Community,
Mediacom,,Business,Anti,1,1,3,0,0,0,1,0,,"Telecom, Tech & Public Interest Community",Cable Industry Community,,,,Telecommunications Industry Community,
MetroTel Corp,MetroTel,Business,Anti,0,0,0,0,1,2,1,0,,,,,Network Equipment Manufacturers Community,Open Community,Telecommunications Industry Community,
MRV Communications,MRV,Business,Anti,0,0,0,0,2,2,0,0,,,,,Network Equipment Manufacturers Community,Open Community,,
"Murray Electric System, Murray, KY",MES,Business,Anti,0,0,0,0,0,0,1,2,,,,,,,Small Municipal ISPs Community,Small Municipal ISPs Community
"Muscatine Power & Water, Muscatine, IA",MPW,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Small Municipal ISPs Community,Small Municipal ISPs Community
National Exchange Carrier Association,NECA,Business,Anti,0,0,1,0,0,2,0,1,,,,,,,,
New Wave Net Corp.,,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Telecommunications Industry Community,Small WISPs Community
Nokia,,Business,Anti,0,0,2,0,0,2,3,2,,,,,,Open Community,Telecommunications Industry Community,Network Equipment Manufacturers Community
NTInet Inc.,NTInet,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Telecommunications Industry Community,Small WISPs Community
Optical Zonu Corp,Optical Zonu,Business,Anti,0,0,0,0,1,1,1,0,,,,,Network Equipment Manufacturers Community,Open Community,Telecommunications Industry Community,
Oregon Online,,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Telecommunications Industry Community,Small WISPs Community
Panasonic,,Business,Anti,0,0,0,0,0,0,2,1,,,,,,,Telecommunications Industry Community,Network Equipment Manufacturers Community
PECO II,,Business,Anti,0,0,0,0,2,2,0,0,,,,,Network Equipment Manufacturers Community,Open Community,,
PennWisp,,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Telecommunications Industry Community,Small WISPs Community
Portative Technologies,,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Telecommunications Industry Community,Small WISPs Community
Preformed Line Products,PLP,Business,Anti,0,0,0,0,1,0,1,0,,,,,Network Equipment Manufacturers Community,,Telecommunications Industry Community,
Prysmian Communications Cables & Systems,Prysmian,Business,Anti,0,0,0,0,1,2,1,1,,,,,Network Equipment Manufacturers Community,Open Community,Telecommunications Industry Community,Network Equipment Manufacturers Community
Qualcomm,,Business,Anti,0,2,0,0,0,4,2,2,,,,,,Open Community,Telecommunications Industry Community,Network Equipment Manufacturers Community
Qwest,,Business,Anti,2,9,0,0,3,5,0,0,Mid-Size ISPs Community,"Telecom, Tech & Public Interest Community",,,,Open Community,,
QXC Communications,QXC,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Telecommunications Industry Community,Small WISPs Community
"San Bruno Municipal Cable TV, San Bruno, CA",San Bruno Municipal Cable TV,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Small Municipal ISPs Community,Small Municipal ISPs Community
Sandvine,,Business,Anti,0,0,0,0,0,2,3,1,,,,,,,Telecommunications Industry Community,
"Scottsboro Electric Power Board, Scottsboro, AL",Scottsboro Electric Power Board,Business,Anti,0,0,0,0,0,0,1,2,,,,,,,Small Municipal ISPs Community,Small Municipal ISPs Community
Shentel,,Business,Anti,0,0,1,0,0,0,2,2,,,Cable Industry Community,,,,Telecommunications Industry Community,Republican representatives community
Sheyenne Dakota,SDI,Business,Anti,0,0,0,0,1,2,1,0,,,,,Network Equipment Manufacturers Community,Open Community,Telecommunications Industry Community,
"Shrewsbury Electric & Cable Operations, Shrewsbury, MA",SELCO,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Small Municipal ISPs Community,Small Municipal ISPs Community
Snappy Internet & Telecom,,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Telecommunications Industry Community,Small WISPs Community
SNC Manufacturing,SNC,Business,Anti,0,0,0,0,1,2,1,1,,,,,Network Equipment Manufacturers Community,Open Community,Telecommunications Industry Community,Network Equipment Manufacturers Community
"Spencer Municipal Utilities, Spencer, IA",SMU,Business,Anti,0,0,0,0,0,0,1,2,,,,,,,Small Municipal ISPs Community,Small Municipal ISPs Community
Sprint,,Business,Anti,0,2,2,0,1,4,0,1,,"Telecom, Tech & Public Interest Community",Wireless & Mobile Industry Community,,,Open Community,,
Suddenlink,,Business,Anti,2,0,3,0,0,0,2,0,Cable Industry Community,,Cable Industry Community,,,,Telecommunications Industry Community,
Sumitomo Electric Lightwave,SEL,Business,Anti,0,0,0,0,1,0,2,0,,,,,Network Equipment Manufacturers Community,,Telecommunications Industry Community,
Sunrise Telecom,,Business,Anti,0,0,0,0,2,1,0,0,,,,,Network Equipment Manufacturers Community,Open Community,,
T-Mobile,,Business,Anti,0,13,5,0,1,7,3,1,,"Telecom, Tech & Public Interest Community",Wireless & Mobile Industry Community,,,Open Community,,
Telesync,,Business,Anti,0,0,0,0,1,1,0,0,,,,,Network Equipment Manufacturers Community,Open Community,,
Time Warner Cable,,Business,Anti,2,8,2,0,2,6,3,0,Cable Industry Community,"Telecom, Tech & Public Interest Community",Cable Industry Community,,,Open Community,Telecommunications Industry Community,
Tnet Broadband Internet,,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Telecommunications Industry Community,Small WISPs Community
"Tullahoma Utilities Board, Tullahoma, TN",TUA,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Small Municipal ISPs Community,Small Municipal ISPs Community
United States Cellular,UScellular,Business,Anti,0,1,2,0,0,1,0,0,,"Telecom, Tech & Public Interest Community",Wireless & Mobile Industry Community,,,Open Community,,
Verizon,,Business,Anti,2,42,14,4,7,12,20,4,,"Telecom, Tech & Public Interest Community",Wireless & Mobile Industry Community,,,Open Community,Telecommunications Industry Community,
Verizon Wireless,,Business,Anti,0,1,0,0,0,5,3,0,,"Telecom, Tech & Public Interest Community",,,,Open Community,Telecommunications Industry Community,
Vermeer Corporation,Vermeer,Business,Anti,0,0,0,0,0,0,2,1,,,,,,,Telecommunications Industry Community,Network Equipment Manufacturers Community
Walker & Associates,,Business,Anti,0,0,0,0,0,0,2,1,,,,,,,Telecommunications Industry Community,Network Equipment Manufacturers Community
Washington Broadband,WA Broadband,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Telecommunications Industry Community,Small WISPs Community
Wave Wireless,,Business,Anti,0,0,0,0,0,0,2,1,,,,,,,Telecommunications Industry Community,Small WISPs Community
Windstream,,Business,Anti,3,6,0,0,0,1,0,0,Mid-Size ISPs Community,"Telecom, Tech & Public Interest Community",,,,,,
"Wyandotte Municipal Services, Wyandotte, MI",WMS,Business,Anti,0,0,0,0,0,0,1,2,,,,,,,Small Municipal ISPs Community,Small Municipal ISPs Community
Wyoming.com,,Business,Anti,0,0,0,0,0,0,1,1,,,,,,,Telecommunications Industry Community,Small WISPs Community
Akamai,,Business,Neither,0,0,8,6,1,3,4,3,,,,,,,,
Disney,,Business,Neither,0,11,2,0,0,0,1,0,,Media Community,Pro-Net Neutrality Community,,,,,
GlobalVision,,Business,Neither,0,0,0,0,0,0,1,1,,,,,,,Pro-Net Neutrality Community,Public Interest Community
Interisle Consulting,Interisle,Business,Neither,0,0,0,0,0,0,1,1,,,,,,,,
NBCUniversal,,Business,Neither,1,1,2,0,3,0,0,0,,Media Community,Pro-Net Neutrality Community,,,,,
Sony,,Business,Neither,0,2,0,0,1,4,0,0,,,,,,Open Community,,
Time Warner,,Business,Neither,1,3,2,0,1,0,1,0,Cable Industry Community,Media Community,Pro-Net Neutrality Community,,,,,
Viacom,,Business,Neither,0,1,2,0,0,0,1,0,,Media Community,Pro-Net Neutrality Community,,,,,
Wilco Electronic Systems,Wilco,Business,Neither,0,1,1,0,0,0,0,0,,Conservative Astroturf Community,Pro-Net Neutrality Community,,,,,
ADT,,Business,Pro,0,0,2,2,0,0,1,3,,,,,,,,
Amazon,,Business,Pro,1,9,1,2,0,4,1,3,Pro-Net Neutrality Community,"Telecom, Tech & Public Interest Community",Pro-Net Neutrality Community,,,Open Community,Pro-Net Neutrality Community,Internet-Based Tech Companies Community
AOL,,Business,Pro,0,0,5,0,0,1,1,0,,,Pro-Net Neutrality Community,,,,,
BitTorrent,,Business,Pro,0,0,0,0,1,0,1,0,,,,,,,Pro-Net Neutrality Community,
Cbeyond,,Business,Pro,0,0,0,0,0,1,1,0,,,,,,Open Community,Pro-Net Neutrality Community,
Cogent,,Business,Pro,0,0,10,0,0,0,6,2,,,Pro-Net Neutrality Community,,,,Pro-Net Neutrality Community,
Columbia Telecommunications Corporation,CTC,Business,Pro,0,1,0,0,0,1,1,0,,"Telecom, Tech & Public Interest Community",,,,Open Community,Pro-Net Neutrality Community,
COMPTEL,,Business,Pro,0,0,8,8,0,2,7,5,,,Pro-Net Neutrality Community,,,,Pro-Net Neutrality Community,
Daily Kos,,Business,Pro,0,0,2,0,0,1,2,1,,,Pro-Net Neutrality Community,,,Open Community,Pro-Net Neutrality Community,
Data Foundry,,Business,Pro,3,4,2,0,2,2,1,3,,Media Community,,,,Open Community,,Public Interest Community
Digg,,Business,Pro,0,0,0,0,0,1,1,0,,,,,,Open Community,Pro-Net Neutrality Community,
DISH Network,DISH,Business,Pro,0,17,2,0,0,6,0,0,,"Telecom, Tech & Public Interest Community",Pro-Net Neutrality Community,,,Open Community,,
Dropbox,,Business,Pro,0,0,0,0,0,0,3,2,,,,,,,Pro-Net Neutrality Community,Internet-Based Tech Companies Community
